Model,Label
CX-7AWD,443
CX-7FWD,444
RX-84dr,1948
Mazda3i,1576
Mazda34dr,1573
Mazda6Sport,1587
Mazda35dr,1574
Mazda6Touring,1588
Mazda64dr,1584
MAZDA35dr,1457
Mazda3s,1577
MAZDA34dr,1456
TributeFWD,2458
Mazda6s,1590
MAZDA64dr,1463
Mazda6Grand,1586
Mazda6i,1589
Tribute4WD,2457
Mazda3,1572
Tribute3.0L,2456
Mazda3MAZDASPEED3,1575
MAZDA65dr,1464
Mazda2Sport,1570
Mazda65dr,1585
CX-5Sport,441
Mazda24dr,1569
Mazda2Touring,1571
CX-3FWD,435
CX-5Touring,442
CX-52016.5,438
CX-5Grand,440
CX-3AWD,434
Tribute2.3L,2455
Mazda5Sport,1581
Mazda5Touring,1582
Mazda54dr,1578
Protege4dr,1816
Mazda5Grand,1580
MAZDA54dr,1458
MX5,1516
B-Series,296
CX-9AWD,446
CX-9Sport,450
CX-9FWD,447
Millenia4dr,1593
CX-9Touring,451
Mazda55dr,1579
Protege55dr,1817
6264dr,130
MPV4dr,1513
MX-5,1515
CX-9Grand,448
CX-92WD,445
CX-9Signature,449
C-ClassC280,339
C-Class4dr,334
C-ClassC240,337
C-ClassC230,336
C-ClassC250,338
C-ClassC320,342
C-ClassC300,340
GLK-ClassGLK350,1157
GLK-Class4MATIC,1155
C-ClassC350,343
CLK-Class2dr,391
CLK-ClassCLK500,395
C-ClassC,335
CLK-ClassCLK320,392
GLK-ClassRWD,1158
CLA-ClassCLA250,385
CLK-ClassCLK350,393
CLK-ClassCLK430,394
C-ClassC32,341
CLK-ClassCLK55,396
C-ClassC55,348
R-Class4dr,1906
GLK-ClassGLK250,1156
Metris,1591
E-ClassE320,745
B-ClassElectric,295
E-ClassE350,746
R-Class4WD,1905
R-ClassR350,1907
E-Class4dr,740
E-ClassE500,749
CLACLA250,388
SLK-ClassSLK230,2127
E-ClassE430,748
M-ClassML350,1419
SLK-ClassSLK280,2129
M-ClassML500,1422
R-Class4MATIC,1904
SLK-Class2dr,2126
SLK-ClassSLK320,2131
SLK-ClassSLK350,2132
GLA-ClassGLA250,1140
M-Class4WD,1415
M-ClassML320,1418
M-ClassRWD,1425
S-ClassS500,2049
M-Class4MATIC,1414
GLAGLA250,1144
CLACLA,387
R-ClassR500,1908
S-ClassS350,2045
S-ClassS430,2048
GLAGLA,1143
E-Class2dr,738
S-ClassS600,2052
SLK-ClassSLK250,2128
E-ClassE400,747
E-ClassE550,751
SLKSLK300,2134
C-ClassC400,345
SLK-ClassSLK32,2130
E-ClassE55,750
GL-ClassGL450,1137
C-ClassC63,349
CL-ClassCL500,380
GL-Class4WD,1135
S-Class4dr,2042
S-ClassS55,2050
CLS-ClassCLS500,400
SLK-ClassSLK55,2133
E-ClassE300,743
SL-ClassSL500,2119
GL-Class4MATIC,1134
CLS-Class4dr,398
CLA-ClassCLA45,386
GLCGLC300,1146
CL-ClassCL600,383
C-ClassC350e,344
S-ClassS320,2044
CL-ClassCL,379
M-ClassML,1416
E-ClassE250,742
CLS-ClassCLS55,401
GLCGLC,1145
S-ClassS550,2051
GLA-ClassGLA45,1141
CL-ClassCL550,382
C-ClassC450,347
GL-ClassGL350,1136
SL-Class2dr,2117
CL-ClassCL55,381
SL-ClassSL600,2122
SL-ClassSL55,2120
CLS-ClassCLS550,402
M-ClassML550,1423
M-ClassML250,1417
CL-Class2dr,378
GL-ClassGL550,1138
E-ClassE,741
GLEGLE350,1149
S-ClassS65,2054
CL-ClassCL65,384
SLKSLK350,2135
M-ClassML400,1420
SLCSLC,2125
GLEGLE,1147
GLEGLE400,1150
GLGL450,1151
SL-ClassSL550,2121
SL-ClassSL65,2124
E-ClassE63,752
CLS-ClassCLS400,399
CLS-ClassCLS63,403
M-ClassML63,1424
G-ClassG500,1118
G-Class4WD,1117
G-ClassG55,1119
MarinerFWD,1552
Mariner4WD,1550
Mariner4dr,1551
Milan4dr,1592
Mountaineer4dr,1612
Monterey4dr,1608
Montego4dr,1607
MountaineerRWD,1615
Mountaineer2WD,1611
MountaineerAWD,1613
Sable4dr,2163
Cougar3dr,671
Cougar2dr,670
Villager5dr,2559
MountaineerLuxury,1614
Cooper,647
Hardtop,1223
ClubmanCooper,602
ConvertibleCooper,645
CountrymanCooper,672
ConvertibleJohn,646
Outlander,1712
Mirage,1594
LancerES,1380
LancerCVT,1379
OutlanderES,1717
Lancer4dr,1377
LancerMan,1384
MirageES,1598
MirageDE,1597
EclipseAuto,766
LancerGT,1382
OutlanderSEL,1720
MirageGT,1599
Lancer,1376
Outlander2WD,1713
OutlanderSE,1719
LancerSE,1386
Eclipse3dr,765
Eclipse2dr,764
MirageSE,1600
Outlander4WD,1714
MirageCVT,1596
Galant4dr,1174
Lancer5dr,1378
OutlanderAWD,1716
Outlander4dr,1715
i-MiEVES,2805
i-MiEV4dr,2804
GalantFE,1176
EclipseGS,767
OutlanderGT,1718
GalantES,1175
LancerRalliart,1385
RaiderDouble,1954
Raider2WD,1952
EndeavorLS,822
Montero,1609
Galant,1173
LancerTC-SST,1388
Raider4WD,1953
EndeavorFWD,821
EndeavorAWD,820
Endeavor4dr,819
Mirage4dr,1595
Diamante4dr,724
LancerLE,1383
3000GT2dr,44
EclipseGT,768
Montero4dr,1610
AltimaSedan,235
SentraS,2192
Altima2.5,229
Versa,2549
Sentra4dr,2189
Altima4dr,233
SentraFE+,2190
VersaS,2553
SentraSV,2195
Altima2017.5,230
SentraSR,2194
Maxima3.5,1562
SentraSL,2193
Versa1.6,2550
Rogue,2023
Altima2dr,231
Altima3.5,232
VersaSL,2554
AltimaCoupe,234
VersaSV,2555
Maxima4dr,1563
Murano2WD,1618
MaximaS,1565
Versa5dr,2552
SentraNISMO,2191
Versa4dr,2551
RogueS,2028
MuranoSV,1625
MuranoAWD,1620
MuranoSL,1624
MaximaSV,1568
LEAFS,1350
MuranoS,1623
Murano4dr,1619
MaximaSR,1567
MaximaSL,1566
LEAFSL,1351
RogueSV,2030
LEAFSV,1352
RogueSL,2029
NV200,1644
LEAF4dr,1349
RogueFWD,2027
MuranoLE,1622
RogueAWD,2026
Rogue2017.5,2024
MaximaPlatinum,1564
MuranoFWD,1621
Titan2WD,2415
Murano2017.5,1617
TitanSingle,2420
Frontier,1097
PathfinderSV,1772
QuestSV,1903
350Z2dr,76
PathfinderS,1769
QuestS,1901
Pathfinder2WD,1762
QuestPlatinum,1900
TitanKing,2418
FrontierKing,1101
JUKES,1319
Pathfinder4WD,1763
Quest4dr,1898
Xterra2WD,2737
FrontierCrew,1100
QuestSL,1902
PathfinderSL,1771
TitanCrew,2417
Xterra4dr,2739
cubeS,2784
JUKEFWD,1317
Xterra4WD,2738
ArmadaLE,240
JUKE5dr,1315
Titan4WD,2416
PathfinderSE,1770
JUKESV,1321
PathfinderPlatinum,1768
XterraX,2742
JUKESL,1320
cubeSL,2785
